9.75881 - 6
9.82539 - 5
9.83162 + 6
9.85521 - 5
9.94579 - 4
9.95114 - 3
9.95841 - 2
10.0073 - 1
10.0453 - 0
10.091 + 1
10.0914 - 0
10.1469 + 1
10.164 - 0
10.2281 + 1
10.2291 - 0
10.289 + 1
10.3342 + 2
10.3455 - 1
10.4013 + 2
10.4273 - 1
10.439 - 0
10.5028 + 1
10.566 - 0
10.6218 + 1
10.6245 - 0
10.6707 + 1
10.6935 - 0
10.7183 + 1
10.7554 + 2
10.8119 - 1
10.8164 - 0
11.1201 + 1
11.1286 + 2
11.1343 + 3
11.1428 + 4
11.1827 + 5
11.2073 + 6
11.2738 + 7
11.3089 - 6
11.3402 - 5
11.3732 - 4
11.376 + 5
11.4471 + 6
11.4562 - 5
11.5098 + 6
11.514 - 5
11.5982 - 4
11.5986 + 5
11.6161 + 6
11.6283 + 7
11.6288 - 6
11.6809 - 5
11.7163 - 4
11.8105 - 3
11.8151 + 4
11.8607 - 3
11.8971 + 4
11.912 + 5
11.9525 + 6
12.0277 - 5
12.0622 - 4
12.0739 + 5
12.0827 - 4
12.0915 + 5
12.0935 - 4
12.1244 - 3
12.1273 + 4
12.1552 - 3
12.1776 + 4
12.1926 - 3
12.2818 - 2
12.2857 - 1
12.3295 + 2
12.3331 - 1
12.3595 - 0
12.5167 + 1
12.5223 - 0
12.5967 + 1
12.619 - 0
12.6645 + 1
12.6813 - 0
12.797 + 1
12.8006 - 0
12.8263 + 1
12.8905 - 0
12.9319 + 1
12.9355 + 2
13.0059 - 1
13.0247 - 0
13.106 + 1
13.1199 - 0
13.1477 + 1
13.1552 + 2
13.1732 + 3
13.1816 - 2
13.1842 - 1
13.1876 + 2
13.1904 - 1
13.2021 + 2
13.2153 + 3
13.2506 - 2
13.2855 - 1
13.311 + 2
13.3115 - 1
13.3426 - 0
13.4035 + 1
13.4044 - 0
13.481 + 1
13.4877 - 0
13.604 + 1
13.6361 - 0
13.8106 + 1
13.8356 + 2
13.8452 - 1
13.8462 + 2
13.8788 + 3
13.8818 + 4
13.8845 - 3
13.8942 - 2
13.9354 + 3
13.936 - 2
13.9403 + 3
13.9604 - 2
13.9693 - 1
13.9714 - 0
14.0359 + 1
14.0498 - 0
14.0697 + 1
14.0955 - 0
14.1852 + 1
14.2414 + 2
14.244 + 3
14.244 - 2
14.2663 - 1
14.3018 + 2
14.3049 - 1
14.3219 + 2
14.3568 - 1
14.3971 + 2
14.4153 + 3
14.452 - 2
14.4731 - 1
14.5105 + 2
14.5361 + 3
14.5976 - 2
14.6089 - 1
14.6134 + 2
14.624 - 1
14.6358 - 0
14.6943 + 1
14.7713 - 0
14.8105 + 1
14.812 + 2
14.8353 - 1
14.8385 + 2
14.8477 + 3
14.8833 + 4
14.925 + 5
14.9324 - 4
14.9521 - 3
14.9645 + 4
14.9733 - 3
15.0241 + 4
15.0516 - 3
15.0777 - 2
15.0819 + 3
15.1035 - 2
15.1072 - 1
15.1809 - 0
15.1997 + 1
15.2086 + 2
15.225 - 1
15.3724 + 2
15.4064 + 3
15.4221 - 2
15.4592 - 1
15.5189 + 2
15.529 + 3
15.5504 - 2
15.5642 - 1
15.6077 + 2
15.6079 + 3
15.6382 + 4
15.7089 - 3
15.7553 - 2
15.7647 - 1
15.8372 + 2
15.8511 + 3
15.8542 + 4
15.9139 - 3
15.9142 - 2
15.95 - 1
15.9707 - 0
16.0303 + 1
16.0885 - 0
16.1098 + 1
16.1385 + 2
16.14 - 1
16.1806 - 0
16.182 + 1
16.1965 + 2
16.2227 - 1
16.2486 - 0
16.3189 + 1
16.3415 - 0
16.3745 + 1
16.4006 + 2
16.4196 + 3
16.4198 + 4
16.4384 - 3
16.4606 - 2
16.4707 + 3
16.5002 - 2
16.5118 - 1
16.5182 - 0
16.5811 + 1
16.6389 - 0
16.7276 + 1
16.7386 - 0
16.7825 + 1
16.8322 + 2
16.8496 - 1
16.8684 - 0
16.918 + 1
16.926 + 2
16.9268 - 1
16.9497 - 0
16.9657 + 1
16.9732 + 2
17.0256 + 3
17.0703 + 4
17.0704 + 5
17.0806 - 4
17.1681 + 5
17.1755 - 4
17.1991 + 5
17.2227 + 6
17.2393 - 5
17.2763 - 4
17.2811 - 3
17.3142 + 4
17.3334 - 3
17.3682 + 4
17.3733 - 3
17.3771 - 2
17.3829 + 3
17.3844 + 4
17.3855 + 5
17.3968 - 4
17.3971 - 3
17.4062 - 2
17.4231 + 3
17.4268 + 4
17.4647 - 3
17.4872 - 2
17.4887 + 3
17.5086 - 2
17.6863 + 3
17.6902 - 2
17.7924 - 1
17.7984 + 2
17.8392 + 3
17.9173 - 2
17.9201 - 1
17.9892 + 2
17.9896 + 3
17.9965 + 4
17.9966 - 3
18.0664 - 2
18.0664 - 1
18.0794 - 0
18.1606 + 1
18.2176 + 2
18.231 + 3
18.285 + 4
18.2955 + 5
18.3808 - 4
18.3968 - 3
18.4124 - 2
18.4296 - 1
18.4327 + 2
18.501 + 3
18.5122 + 4
18.5289 + 5
18.5335 - 4
18.5368 - 3
18.5388 - 2
18.575 - 1
18.5822 - 0
18.6188 + 1
18.6237 - 0
18.6343 + 1
18.6929 - 0
18.7439 + 1
18.8019 + 2
18.8322 + 3
18.8471 - 2
18.8626 + 3
18.883 + 4
18.8871 - 3
18.9248 - 2
18.9294 - 1
18.9579 + 2
18.978 + 3
19.0085 - 2
19.0184 + 3
19.028 - 2
19.0406 + 3
19.046 - 2
19.1136 + 3
19.1611 - 2
19.1941 - 1
19.2022 - 0
19.2194 + 1
19.2482 - 0
19.3411 + 1
19.3606 - 0
19.4685 + 1
19.4723 + 2
19.4909 - 1
19.4999 + 2
19.513 - 1
19.5524 - 0
19.617 + 1
19.7149 - 0
19.7527 + 1
19.7809 + 2
19.8195 - 1
19.8253 - 0
19.9001 + 1
19.9417 + 2
19.9599 + 3
20.0005 - 2
20.01 - 1
20.0331 + 2
20.0455 - 1
20.0655 - 0
20.0957 + 1
20.196 + 2
20.253 - 1
20.2766 - 0
20.3037 + 1
20.3123 + 2
20.3284 - 1
20.3891 - 0
20.5468 + 1
20.6773 + 2
20.6803 + 3
20.7285 - 2
20.8262 - 1
20.8266 + 2
20.8538 - 1
20.8563 + 2
20.8748 + 3
20.9613 - 2
20.9821 + 3
20.9974 - 2
21.0295 - 1
21.0327 + 2
21.0758 + 3
21.0804 - 2
21.1546 - 1
21.1762 - 0
21.2091 + 1
21.228 + 2
21.2292 + 3
21.2298 + 4
21.2414 - 3
21.2718 + 4
21.2748 - 3
21.4311 + 4
21.4559 + 5
21.4836 - 4
21.504 - 3
21.5281 - 2
21.5453 - 1
21.5654 - 0
21.5847 + 1
21.6063 + 2
21.6206 + 3
